Genoma 150, Vitórias X: 66, Vitórias O: 69, Draws: 15
Genoma 297, Vitórias X: 68, Vitórias O: 63, Draws: 19
Genoma 414, Vitórias X: 70, Vitórias O: 66, Draws: 14
Genoma 531, Vitórias X: 75, Vitórias O: 57, Draws: 19
Genoma 645, Vitórias X: 73, Vitórias O: 61, Draws: 16
Genoma 760, Vitórias X: 87, Vitórias O: 49, Draws: 15
Genoma 150, Vitórias X: 58, Vitórias O: 74, Draws: 18
Genoma 297, Vitórias X: 71, Vitórias O: 62, Draws: 17
Genoma 424, Vitórias X: 76, Vitórias O: 49, Draws: 24
Genoma 544, Vitórias X: 83, Vitórias O: 53, Draws: 13
Genoma 663, Vitórias X: 67, Vitórias O: 58, Draws: 24
Genoma 781, Vitórias X: 70, Vitórias O: 53, Draws: 25
Genoma 899, Vitórias X: 75, Vitórias O: 52, Draws: 21
Genoma 1016, Vitórias X: 76, Vitórias O: 53, Draws: 18
Genoma 1138, Vitórias X: 71, Vitórias O: 59, Draws: 22
Genoma 1258, Vitórias X: 80, Vitórias O: 52, Draws: 18
Genoma 150, Vitórias X: 73, Vitórias O: 61, Draws: 16
Genoma 297, Vitórias X: 79, Vitórias O: 57, Draws: 14
Genoma 427, Vitórias X: 75, Vitórias O: 58, Draws: 17
Genoma 557, Vitórias X: 72, Vitórias O: 63, Draws: 16
Genoma 684, Vitórias X: 67, Vitórias O: 61, Draws: 23
Genoma 810, Vitórias X: 81, Vitórias O: 52, Draws: 17
Genoma 936, Vitórias X: 80, Vitórias O: 53, Draws: 17
Genoma 1062, Vitórias X: 80, Vitórias O: 52, Draws: 18
Genoma 1186, Vitórias X: 74, Vitórias O: 55, Draws: 19
Genoma 1310, Vitórias X: 87, Vitórias O: 43, Draws: 18
Genoma 100, Vitórias X: 37, Vitórias O: 48, Draws: 15
Genoma 197, Vitórias X: 43, Vitórias O: 42, Draws: 15
Genoma 100, Vitórias X: 49, Vitórias O: 45, Draws: 6
Genoma 197, Vitórias X: 51, Vitórias O: 35, Draws: 14
Genoma 294, Vitórias X: 61, Vitórias O: 30, Draws: 9
Genoma 391, Vitórias X: 50, Vitórias O: 41, Draws: 9
Genoma 100, Vitórias X: 47, Vitórias O: 44, Draws: 9
Genoma 197, Vitórias X: 50, Vitórias O: 41, Draws: 9
Genoma 100, Vitórias X: 45, Vitórias O: 46, Draws: 9
Genoma 197, Vitórias X: 43, Vitórias O: 44, Draws: 13
Genoma 294, Vitórias X: 47, Vitórias O: 41, Draws: 12
Genoma 391, Vitórias X: 47, Vitórias O: 43, Draws: 10
Genoma 488, Vitórias X: 55, Vitórias O: 34, Draws: 11
Genoma 585, Vitórias X: 44, Vitórias O: 44, Draws: 12
Genoma 682, Vitórias X: 50, Vitórias O: 34, Draws: 16
Genoma 779, Vitórias X: 50, Vitórias O: 34, Draws: 16
Genoma 876, Vitórias X: 65, Vitórias O: 23, Draws: 12
Genoma 973, Vitórias X: 63, Vitórias O: 21, Draws: 16
Genoma 1070, Vitórias X: 64, Vitórias O: 27, Draws: 9
Genoma 100, Vitórias X: 41, Vitórias O: 47, Draws: 12
Genoma 197, Vitórias X: 48, Vitórias O: 36, Draws: 16
Genoma 294, Vitórias X: 40, Vitórias O: 51, Draws: 9
Genoma 391, Vitórias X: 46, Vitórias O: 41, Draws: 13
Genoma 488, Vitórias X: 54, Vitórias O: 39, Draws: 7
Genoma 585, Vitórias X: 48, Vitórias O: 39, Draws: 13
Genoma 682, Vitórias X: 50, Vitórias O: 34, Draws: 16
Genoma 779, Vitórias X: 47, Vitórias O: 47, Draws: 6
Genoma 876, Vitórias X: 44, Vitórias O: 45, Draws: 11
Genoma 100, Vitórias X: 41, Vitórias O: 44, Draws: 15
Genoma 197, Vitórias X: 48, Vitórias O: 41, Draws: 11
Genoma 100, Vitórias X: 44, Vitórias O: 44, Draws: 12
Genoma 100, Vitórias X: 42, Vitórias O: 47, Draws: 11
Genoma 197, Vitórias X: 46, Vitórias O: 42, Draws: 12
Genoma 294, Vitórias X: 48, Vitórias O: 39, Draws: 13
Genoma 391, Vitórias X: 54, Vitórias O: 37, Draws: 9
Genoma 488, Vitórias X: 44, Vitórias O: 48, Draws: 8
Genoma 585, Vitórias X: 50, Vitórias O: 39, Draws: 11
Genoma 682, Vitórias X: 50, Vitórias O: 38, Draws: 12
Genoma 779, Vitórias X: 45, Vitórias O: 42, Draws: 13
Genoma 876, Vitórias X: 55, Vitórias O: 32, Draws: 13
Genoma 973, Vitórias X: 48, Vitórias O: 37, Draws: 15
Genoma 1070, Vitórias X: 55, Vitórias O: 32, Draws: 13
Genoma 1167, Vitórias X: 65, Vitórias O: 24, Draws: 11
Genoma 1264, Vitórias X: 46, Vitórias O: 40, Draws: 14
Genoma 1361, Vitórias X: 62, Vitórias O: 29, Draws: 9
Genoma 1458, Vitórias X: 58, Vitórias O: 34, Draws: 8
Genoma 1555, Vitórias X: 53, Vitórias O: 40, Draws: 7
Genoma 1652, Vitórias X: 62, Vitórias O: 30, Draws: 8
Genoma 1749, Vitórias X: 57, Vitórias O: 33, Draws: 10
Genoma 1846, Vitórias X: 59, Vitórias O: 30, Draws: 11
Genoma 1943, Vitórias X: 51, Vitórias O: 39, Draws: 10
Genoma 2040, Vitórias X: 59, Vitórias O: 28, Draws: 13
Genoma 2137, Vitórias X: 58, Vitórias O: 34, Draws: 8
Genoma 2234, Vitórias X: 55, Vitórias O: 32, Draws: 13
Genoma 2331, Vitórias X: 50, Vitórias O: 36, Draws: 14
Genoma 2428, Vitórias X: 61, Vitórias O: 31, Draws: 8
Genoma 2525, Vitórias X: 59, Vitórias O: 31, Draws: 10
Genoma 2622, Vitórias X: 54, Vitórias O: 38, Draws: 8
Genoma 2719, Vitórias X: 62, Vitórias O: 29, Draws: 9
Genoma 2816, Vitórias X: 56, Vitórias O: 33, Draws: 11
Genoma 2913, Vitórias X: 69, Vitórias O: 20, Draws: 11
Genoma 3010, Vitórias X: 52, Vitórias O: 39, Draws: 9
Genoma 3107, Vitórias X: 52, Vitórias O: 33, Draws: 15
Genoma 3204, Vitórias X: 68, Vitórias O: 26, Draws: 6
Genoma 3301, Vitórias X: 55, Vitórias O: 37, Draws: 8
Genoma 3398, Vitórias X: 56, Vitórias O: 29, Draws: 15
Genoma 3495, Vitórias X: 61, Vitórias O: 30, Draws: 9
Genoma 3592, Vitórias X: 64, Vitórias O: 29, Draws: 7
Genoma 3689, Vitórias X: 44, Vitórias O: 41, Draws: 15
Genoma 3786, Vitórias X: 56, Vitórias O: 32, Draws: 12
Genoma 3883, Vitórias X: 52, Vitórias O: 35, Draws: 13
Genoma 3980, Vitórias X: 50, Vitórias O: 38, Draws: 12
Genoma 4077, Vitórias X: 52, Vitórias O: 34, Draws: 14
Genoma 4174, Vitórias X: 52, Vitórias O: 34, Draws: 14
Genoma 4271, Vitórias X: 60, Vitórias O: 30, Draws: 10
Genoma 4368, Vitórias X: 53, Vitórias O: 37, Draws: 10
Genoma 4465, Vitórias X: 52, Vitórias O: 29, Draws: 19
Genoma 4562, Vitórias X: 54, Vitórias O: 40, Draws: 6
Genoma 4659, Vitórias X: 56, Vitórias O: 32, Draws: 12
Genoma 4756, Vitórias X: 53, Vitórias O: 31, Draws: 16
Genoma 4853, Vitórias X: 52, Vitórias O: 33, Draws: 15
Genoma 4950, Vitórias X: 56, Vitórias O: 35, Draws: 9
Genoma 5047, Vitórias X: 60, Vitórias O: 32, Draws: 8
Genoma 5144, Vitórias X: 55, Vitórias O: 36, Draws: 9
Genoma 5241, Vitórias X: 56, Vitórias O: 33, Draws: 11
Genoma 5338, Vitórias X: 60, Vitórias O: 33, Draws: 7
Genoma 5435, Vitórias X: 56, Vitórias O: 36, Draws: 8
Genoma 5532, Vitórias X: 63, Vitórias O: 29, Draws: 8
Genoma 5629, Vitórias X: 53, Vitórias O: 37, Draws: 10
Genoma 5726, Vitórias X: 57, Vitórias O: 34, Draws: 9
Genoma 5823, Vitórias X: 50, Vitórias O: 33, Draws: 17
Genoma 5920, Vitórias X: 46, Vitórias O: 42, Draws: 12
Genoma 6017, Vitórias X: 58, Vitórias O: 31, Draws: 11
Genoma 6114, Vitórias X: 58, Vitórias O: 31, Draws: 11
Genoma 6211, Vitórias X: 57, Vitórias O: 28, Draws: 15
Genoma 6308, Vitórias X: 47, Vitórias O: 35, Draws: 18
Genoma 6405, Vitórias X: 61, Vitórias O: 34, Draws: 5
Genoma 6502, Vitórias X: 56, Vitórias O: 33, Draws: 11
Genoma 6599, Vitórias X: 52, Vitórias O: 32, Draws: 16
Genoma 6696, Vitórias X: 58, Vitórias O: 30, Draws: 12
Genoma 6793, Vitórias X: 47, Vitórias O: 41, Draws: 12
Genoma 6890, Vitórias X: 54, Vitórias O: 34, Draws: 12
Genoma 6987, Vitórias X: 57, Vitórias O: 31, Draws: 12
Genoma 7084, Vitórias X: 53, Vitórias O: 34, Draws: 13
Genoma 7181, Vitórias X: 59, Vitórias O: 36, Draws: 5
Genoma 7278, Vitórias X: 62, Vitórias O: 30, Draws: 8
Genoma 7375, Vitórias X: 48, Vitórias O: 38, Draws: 14
Genoma 7472, Vitórias X: 56, Vitórias O: 32, Draws: 12
Genoma 7569, Vitórias X: 58, Vitórias O: 35, Draws: 7
Genoma 7666, Vitórias X: 53, Vitórias O: 35, Draws: 12
Genoma 7763, Vitórias X: 53, Vitórias O: 34, Draws: 13
Genoma 7860, Vitórias X: 41, Vitórias O: 41, Draws: 18
Genoma 7957, Vitórias X: 59, Vitórias O: 26, Draws: 15
Genoma 8054, Vitórias X: 53, Vitórias O: 37, Draws: 10
Genoma 8151, Vitórias X: 52, Vitórias O: 33, Draws: 15
Genoma 8248, Vitórias X: 51, Vitórias O: 38, Draws: 11
Genoma 8345, Vitórias X: 55, Vitórias O: 39, Draws: 6
Genoma 8442, Vitórias X: 51, Vitórias O: 41, Draws: 8
Genoma 8539, Vitórias X: 54, Vitórias O: 35, Draws: 11
Genoma 8636, Vitórias X: 54, Vitórias O: 37, Draws: 9
Genoma 8733, Vitórias X: 54, Vitórias O: 34, Draws: 12
Genoma 8830, Vitórias X: 60, Vitórias O: 25, Draws: 15
Genoma 8927, Vitórias X: 52, Vitórias O: 37, Draws: 11
Genoma 9024, Vitórias X: 47, Vitórias O: 45, Draws: 8
Genoma 9121, Vitórias X: 60, Vitórias O: 31, Draws: 9
Genoma 9218, Vitórias X: 48, Vitórias O: 40, Draws: 12
Genoma 9315, Vitórias X: 62, Vitórias O: 28, Draws: 10
Genoma 9412, Vitórias X: 56, Vitórias O: 35, Draws: 9
Genoma 9509, Vitórias X: 49, Vitórias O: 42, Draws: 9
Genoma 9606, Vitórias X: 59, Vitórias O: 33, Draws: 8
Genoma 9703, Vitórias X: 50, Vitórias O: 39, Draws: 11
Genoma 9800, Vitórias X: 52, Vitórias O: 38, Draws: 10
Genoma 9897, Vitórias X: 55, Vitórias O: 36, Draws: 9
Genoma 9994, Vitórias X: 63, Vitórias O: 30, Draws: 7
Genoma 10091, Vitórias X: 42, Vitórias O: 43, Draws: 15
Genoma 10188, Vitórias X: 55, Vitórias O: 35, Draws: 10
Genoma 10285, Vitórias X: 64, Vitórias O: 25, Draws: 11
Genoma 10382, Vitórias X: 56, Vitórias O: 35, Draws: 9
Genoma 10479, Vitórias X: 57, Vitórias O: 32, Draws: 11
Genoma 10576, Vitórias X: 58, Vitórias O: 26, Draws: 16
Genoma 10673, Vitórias X: 54, Vitórias O: 30, Draws: 16
Genoma 10770, Vitórias X: 52, Vitórias O: 35, Draws: 13
Genoma 10867, Vitórias X: 54, Vitórias O: 32, Draws: 14
Genoma 10964, Vitórias X: 59, Vitórias O: 32, Draws: 9
Genoma 11061, Vitórias X: 58, Vitórias O: 30, Draws: 12
Genoma 11158, Vitórias X: 47, Vitórias O: 45, Draws: 8
Genoma 11255, Vitórias X: 48, Vitórias O: 41, Draws: 11
Genoma 11352, Vitórias X: 56, Vitórias O: 36, Draws: 8
Genoma 11449, Vitórias X: 48, Vitórias O: 40, Draws: 12
Genoma 11546, Vitórias X: 63, Vitórias O: 27, Draws: 10
Genoma 11643, Vitórias X: 61, Vitórias O: 26, Draws: 13
Genoma 11740, Vitórias X: 52, Vitórias O: 34, Draws: 14
Genoma 11837, Vitórias X: 56, Vitórias O: 38, Draws: 6
Genoma 11934, Vitórias X: 54, Vitórias O: 35, Draws: 11
Genoma 12031, Vitórias X: 55, Vitórias O: 30, Draws: 15
Genoma 12128, Vitórias X: 47, Vitórias O: 41, Draws: 12
Genoma 12225, Vitórias X: 51, Vitórias O: 36, Draws: 13
Genoma 12322, Vitórias X: 54, Vitórias O: 34, Draws: 12
Genoma 12419, Vitórias X: 56, Vitórias O: 31, Draws: 13
Genoma 12516, Vitórias X: 57, Vitórias O: 35, Draws: 8
Genoma 12613, Vitórias X: 58, Vitórias O: 28, Draws: 14
Genoma 12710, Vitórias X: 64, Vitórias O: 26, Draws: 10
Genoma 12807, Vitórias X: 50, Vitórias O: 38, Draws: 12
Genoma 12904, Vitórias X: 58, Vitórias O: 29, Draws: 13
Genoma 13001, Vitórias X: 66, Vitórias O: 18, Draws: 16
Genoma 13098, Vitórias X: 48, Vitórias O: 42, Draws: 10
Genoma 13195, Vitórias X: 52, Vitórias O: 35, Draws: 13
Genoma 13292, Vitórias X: 53, Vitórias O: 35, Draws: 12
Genoma 13389, Vitórias X: 66, Vitórias O: 25, Draws: 9
Genoma 13486, Vitórias X: 54, Vitórias O: 39, Draws: 7
Genoma 13583, Vitórias X: 53, Vitórias O: 38, Draws: 9
Genoma 13680, Vitórias X: 59, Vitórias O: 24, Draws: 17
Genoma 13777, Vitórias X: 57, Vitórias O: 36, Draws: 7
Genoma 13874, Vitórias X: 44, Vitórias O: 45, Draws: 11
Genoma 13971, Vitórias X: 59, Vitórias O: 27, Draws: 14
Genoma 14068, Vitórias X: 51, Vitórias O: 36, Draws: 13
Genoma 14165, Vitórias X: 55, Vitórias O: 34, Draws: 11
Genoma 14262, Vitórias X: 53, Vitórias O: 36, Draws: 11
